pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
138.0,-115.595,0.0,top,C1,,,C_0402_1005Metric,100n,smt
141.5,-116.545,-90.0,top,C2,,,C_0805_2012Metric,22u,smt
140.5,-113.095,90.0,top,C3,,,C_0402_1005Metric,100n,smt
155.4,-112.7,-90.0,top,C4,,,C_0402_1005Metric,100n,smt
155.0,-109.595,180.0,top,C5,,,C_0805_2012Metric,22u,smt
131.0,-123.095,180.0,top,D1,,,LED_0603_1608Metric,LED,smt
130.7,-107.595,0.0,top,D2,,,D_SOD-523,ESD5Zxx,smt
169.3,-108.095,180.0,top,D3,,,D_SOD-523,ESD5Zxx,smt
165.62,-121.095,0.0,top,D4,,,LED_0603_1608Metric,LED,smt
135.0,-116.8825,90.0,top,D5,,,LED_0603_1608Metric,LED,smt
158.5,-108.595,-90.0,top,D6,,,LED_0603_1608Metric,LED,smt
126.0,-107.475,0.0,top,J2,,,PinHeader_1x08_P2.54mm_Vertical,Conn_01x08_Pin,tht
174.0,-108.22,0.0,top,J3,,,PinHeader_1x08_P2.54mm_Vertical,Conn_01x08_Pin,tht
153.5,-116.595,-90.0,top,R1,,,R_0402_1005Metric,1K5,smt
134.5,-123.095,0.0,top,R2,,,R_0402_1005Metric,1K5,smt
161.0,-121.095,180.0,top,R3,,,R_0402_1005Metric,1K5,smt
135.0,-120.095,-90.0,top,R4,,,R_0402_1005Metric,1K5,smt
161.0,-107.595,0.0,top,R5,,,R_0402_1005Metric,1K5,smt
137.5,-113.095,0.0,top,U1,,LGA-14 TDK InvenSense,PQFN50P300X250X97-14N,ICM-42688-P,smt
158.7,-114.72,0.0,top,U2,,Package,SON125P500X300X100-8N,MS5611-01BA03,smt
