Designator,Mid X,Mid Y,Rotation,Layer
C1,201.0,-135.5,270.0,top
C2,196.5,-135.0,180.0,top
C4,218.5,-133.98,90.0,top
C5,215.5,-135.0,90.0,top
D1,210.0,-127.0,180.0,top
D2,191.3,-127.5,180.0,top
D3,223.0,-132.5,90.0,top
D4,221.7025,-148.0,0.0,top
D5,204.0,-136.7125,90.0,top
D6,211.5,-136.7875,90.0,top
D7,189.2,-134.4,180.0,top
J1,184.5,-144.11,0.0,top
J2,200.81,-122.0,90.0,top
J3,227.5,-144.11,0.0,top
R1,217.5,-138.01,270.0,top
R2,213.5,-127.5,0.0,top
R3,217.0,-148.0,180.0,top
R4,204.0,-139.7225,270.0,top
R5,211.0,-140.0,270.0,top
R6,209.0,-133.0,90.0,top
R7,206.0,-133.0,90.0,top
U1,199.0,-132.5,0.0,top
U2,221.8,-137.875,0.0,top
